city,country,iso2,population,lat,lon,gni_ppp_year,gni_ppp,gni_usd_year,gni_usd,income_index
London,United Kingdom,GB,8799728,51.507222222,-0.1275,2024,60090.0,2024,48610.0,2.2321693907875186
London,United Kingdom,GB,8799728,51.507222222,-0.1275,2024,60090.0,2024,48610.0,2.2321693907875186
London,United Kingdom,GB,8799728,51.507222222,-0.1275,2024,60090.0,2024,48610.0,2.2321693907875186
London,United Kingdom,GB,8799728,51.507222222,-0.1275,2024,60090.0,2024,48610.0,2.2321693907875186
London,United Kingdom,GB,8799728,51.507222222,-0.1275,2024,60090.0,2024,48610.0,2.2321693907875186
London,United Kingdom,GB,8799728,51.507222222,-0.1275,2024,60090.0,2024,48610.0,2.2321693907875186
London,United Kingdom,GB,8799728,51.507222222,-0.1275,2024,60090.0,2024,48610.0,2.2321693907875186
Heze,People's Republic of China,CN,8795939,35.233333333,115.433333333,2024,26920.0,2024,13660.0,1.0
Quanzhou,People's Republic of China,CN,8782285,24.91389,118.58583,2024,26920.0,2024,13660.0,1.0
Quanzhou,People's Republic of China,CN,8782285,24.91389,118.58583,2024,26920.0,2024,13660.0,1.0
Nanning,People's Republic of China,CN,8741584,22.81918,108.31501,2024,26920.0,2024,13660.0,1.0
Nanning,People's Republic of China,CN,8741584,22.81918,108.31501,2024,26920.0,2024,13660.0,1.0
Tehran,Iran,IR,8693706,35.688888888,51.389722222,2024,18420.0,2024,4660.0,0.6842496285289748
Tehran,Iran,IR,8693706,35.688888888,51.389722222,2024,18420.0,2024,4660.0,0.6842496285289748
Tehran,Iran,IR,8693706,35.688888888,51.389722222,2024,18420.0,2024,4660.0,0.6842496285289748
Kunming,People's Republic of China,CN,8460088,25.043333333,102.706111111,2024,26920.0,2024,13660.0,1.0
Kunming,People's Republic of China,CN,8460088,25.043333333,102.706111111,2024,26920.0,2024,13660.0,1.0
Hanoi,Vietnam,VN,8435650,21.0245,105.84117,2024,15850.0,2024,4490.0,0.5887815750371471
Hanoi,Vietnam,VN,8435650,21.0245,105.84117,2024,15850.0,2024,4490.0,0.5887815750371471
Jining,People's Republic of China,CN,8357897,35.4,116.566666666,2024,26920.0,2024,13660.0,1.0
Jining,People's Republic of China,CN,8357897,35.4,116.566666666,2024,26920.0,2024,13660.0,1.0
Fuzhou,People's Republic of China,CN,8291268,26.076944444,119.291666666,2024,26920.0,2024,13660.0,1.0
Fuzhou,People's Republic of China,CN,8291268,26.076944444,119.291666666,2024,26920.0,2024,13660.0,1.0
